"","County","State","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"1366","Murray County","Minnesota",1449,29.6,3363,68.69,84,1.72,3.5,5.3,35.8,21.8,12.1,16.7,4.9,0.4106,71500,86878,1825.08,4.48,8179,4.67,91.49,0.32,0.11,1.28,0.04,0.09,2.01,36.22,14.93,16.7,13.37,18.78,"Republican"
"1367","Nicollet County","Minnesota",9622,50.31,9018,47.15,485,2.54,1.4,3.5,24.7,20.7,14.7,23.3,11.7,0.4596,79113,106710,1161.65,29.6,34454,5.22,85,4.85,0.41,1.62,0.03,0.21,2.66,38.31,16.96,21.8,8.13,14.81,"Democrat"
"1368","Nobles County","Minnesota",2933,33.65,5600,64.26,182,2.09,14.9,5.8,31.2,20.6,10.5,13.2,3.9,0.4187,62973,80292,1852.14,11.98,22290,32.62,54.5,4.39,0.3,5.96,0.18,0.19,1.87,27.37,16.35,16.22,10.65,29.42,"Republican"
"1369","Norman County","Minnesota",1404,40.8,1953,56.76,84,2.44,2.8,4.3,33.4,21,16.6,17.6,4.3,0.4416,65278,83804,2260.51,2.86,6441,4.47,88.53,0.26,1.79,0.28,0,0.5,4.18,36.42,11.83,21.03,15.65,15.07,"Republican"
"1370","Olmsted County","Minnesota",49491,54.16,39692,43.43,2202,2.41,2.5,2.6,19.6,15.8,11.8,26.6,21,0.4569,90420,122239,1692.58,95.89,162847,5.65,76.61,6.73,0.23,6.26,0.04,0.34,4.14,53.31,14.96,16.56,5.94,9.24,"Democrat"
"1371","Otter Tail County","Minnesota",11958,32.85,23800,65.39,641,1.76,2.6,4.2,27.1,23.3,16.2,18.1,8.4,0.4343,67990,86947,5106.51,11.76,60081,3.69,90.48,1.4,0.47,0.56,0.03,0.25,3.12,36.03,16.15,19.29,12.58,15.95,"Republican"
"1372","Pennington County","Minnesota",2568,35.29,4532,62.28,177,2.43,1.2,3.5,30.2,22.1,23.4,14.3,5.3,0.3882,71504,84891,1596.78,8.76,13992,4.8,87.49,1.27,1.19,0.86,0.04,0.34,4.02,28.32,15.12,24.36,7.2,25,"Republican"
"1373","Pine County","Minnesota",5419,33.87,10256,64.1,326,2.04,1.9,6.9,40.9,22.6,12.3,10.8,4.6,0.4154,65059,78804,3655.34,7.96,28876,2.47,86.99,1.63,3.35,0.91,0,0.34,4.31,29.42,22.13,17.09,14.2,17.16,"Republican"
"1374","Pipestone County","Minnesota",1306,26.44,3553,71.92,81,1.64,2.7,4.6,36.7,22.7,12.7,14.1,6.4,0.425,68341,84111,1204.48,7.79,9424,8.53,85.49,1.14,1.06,0.7,0,0.2,2.88,34.93,16.72,16.08,15.28,16.99,"Republican"
"1375","Polk County","Minnesota",5439,34.88,9865,63.26,290,1.86,2.6,4,29.2,23.3,14.2,19.5,7.1,0.4196,69540,83410,5104.86,6.1,31192,6.41,85.08,3.07,1.21,0.5,0.01,0.23,3.49,34.42,17.18,20.58,13.6,14.21,"Republican"
"1376","Pope County","Minnesota",2477,35.27,4417,62.9,128,1.82,2,2.7,30.6,23.2,19,15.2,7.2,0.4201,71212,89070,1747.09,6.47,11308,1.69,95.07,0.3,0.24,0.44,0,0.18,2.08,37.6,14.46,19.57,11.77,16.6,"Republican"
"1377","Ramsey County","Minnesota",211620,71.5,77376,26.14,6981,2.36,4.8,4,20.3,17.5,8.7,27.1,17.6,0.4635,78108,106904,394.32,1387.71,552352,8.15,58.02,12.69,0.53,15.53,0.04,0.42,4.62,46.46,16.29,19.05,5.48,12.72,"Democrat"
"1378","Red Lake County","Minnesota",691,31.47,1454,66.21,51,2.32,1.8,3.1,36.5,24.5,16.8,14.4,3,0.4008,73889,83685,1119.93,3.49,3935,2.62,92.12,0.38,1.45,0.13,0.08,0.36,2.87,32.33,12.96,21.35,13.17,20.18,"Republican"
